Catégorie;Projet;Vote positif;Vote négatif;Description
La végétalisation et l'agriculture urbaine;960- Promouvoir la végétalisation des toitures industrielles;248;11;"REDONNER SA PLACE AU CONTINUUM DE BIODIVERSITE LIEGEOIS TOUT EN INTEGRANT LES BATIMENTS INDUSTRIELS AU TISSU URBAIN
Afin de recréer une continuité dans les îlots de biodiversité qui entourent Liège, les toitures végétalisées plantées d’espèces indigènes sont un bon moyen de recréer des « zones de liaison » entre zones de biodiversités dites « centrales », comme nous l’a expliqué avec pédagogie le professeur Grégory Mahy lors d’une rencontre le 17 mai. La verdurisation d’au moins un pourcentage des toitures de bâtiments industriels et de stockage pourrait permettre à la fois cette réhabilitation de la biodiversité, et une meilleure acceptation de ces bâtiments dans le tissu urbain, qui sont souvent mal accueillis. Mettre en place des aides financières pour les entreprises qui souhaitent installer ce système pourrait constituer une alternative à l’obligation si celle-ci devait constituer un frein trop important au développement de l’activité économique.
LES AVANTAGES BONUS : Notons pour finir les avantages supplémentaires qu’offrent les toitures vertes, qui permettent de lutter contre les risques d’inondation par rétention des eaux pluviales, de contribuer à l’isolation thermique des bâtiments et participent à la photosynthèse. Elles peuvent également nous permettre de faire un pas vers l’agriculture urbaine, dont le développement constitue une réponse partielle au soucis d’empreinte carbone de notre consommation.
Tout cela va dans le sens d'une participation générale pour redonner sa place à la nature dans la ville, afin que les initiatives ne soient pas exclusivement à la charge de la ville (comme les idées de végétalisation de boulevards ou de voies de tram par exemple, également évoquées par le professeur Grégory Mahy lors de la fameuse conférence)."
Des espaces verts, des espaces collectifs, des espaces apaisés;962-Des chèvres pour l'entretien des berges de l'Ourthe;32;9;"Les berges de l'Ourthe depuis Angleur et jusque Tilff constituent des lieux de promenades particulièrement agréables, à pied ou à vélo.
Les îles Rousseau et Pané-cou-plage sont très prisées pour des piques-niques les jours de beau temps.
Cependant, et l'opération de nettoyage des berges menée chaque année aux abords de Belle-Ile en témoigne, il est très difficile de conserver ces berges en bon état d'entretien de la végétation et de propreté.
Une balade régulière avec un petit troupeau de chèvres pourrait apporter une partie de solution, tout en ajoutant une touche bien sympathique à ces lieux de loisirs.
Un partenariat avec la ferme pédagogique du Sart Tilman permettrait d'envisager leur hébergement en toute sécurité. Le site Ecotopia, tout proche, pourrait aussi être mis à contribution, par exemple pour la vente de fromages."
Art, Culture, Patrimoine, Tourisme;964-Relancer le plan lumière de la Ville;123;6;"Le plan Lumière de la ville de Liège était novateur et ambitieux lors de sa création. C’est une manière de transformer la ville et de l’habiller de ces plus beaux habits de soirées. 

De nombreuses réalisations animent la cité ardente, que cela soit une mise en valeur patrimoniale ou une transformation sociale ou sociétale de l’éclairage urbain.  Une question d’efficacité énergétique est aussi  à prendre en compte avec les nouvelles technologies actuelles (Leds entre autres). 

Une remise à jour de ce plan lumière et la concrétisation de projets d’éclairage urbain seront positifs pour continuer à rendre la cité encore plus ardente dès la nuit venue. 

Cette proposition appuie d’autres propositions d’amélioration de l’éclairage urbain (142 Illuminer le sommet de la Tour Kennedy,  163 Améliorer l’éclairage des bâtiments, 164 Améliorer l’éclairage en ville, 593. Mise en lumière des escaliers liégeois)"
Ville participative, Collaborative et Numérique;966 - Créer un roof top sur la Tour des Finances;145;14;Créer un espace bar pour les touristes et les Liégeois avec vue panoramique sur la cité ardente.  Cela pourrait séduire et servir d'attraction touristique et ça changerait un peu du Carré, de la place du Marché et Outremeuse. Cela pourrait aussi avoir un impact économique pour la ville.  a condition que cela soit tenu sérieusement et intelligemment.
Ville participative, Collaborative et Numérique;020 - Créer une plateforme Open Data pour la publication de données numériques en ligne;47;5;"CRÉER UNE PLATEFORME OPEN DATA 

Le mouvement « Open Data » est une démarche de publications de données numériques en ligne. Dans ce cadre, la Ville de Liège a pour projet de partager ses données publiques ainsi que de présenter ses statistiques et son tableau de bord stratégique de manière dynamique, accessible et compréhensible. Les citoyens, les chercheurs, la presse, les entreprises pourront accéder librement et gratuitement à une interface créée spécialement à cet effet. Ce patrimoine immatériel pourra ainsi être mis en valeur au profit du plus grand nombre, et ce à des fins diverses, telles que la conception de services innovants ou la production d’applications, par exemple."
La mobilité;081 - Des ascenseurs à vélos dans les Coteaux;140;19;"Installons des ascenseurs à vélos dans les Coteaux 

Notre ville de liège est dans une vallée et la raideur des coteaux dissuade de nombreux cyclistes de pratiquer le vélo au quotidien pour aller travailler, pour aller à l'école ou pour leurs aller-retours vers et depuis la vallée.

Et si nous installions l'un ou l'autre ascenseur à vélo (bike lift/ cyclocable)!

Ca s'apprend comme le tire-fesses :)

La ville serait améliorée car l'usage du vélo dans le contexte liégeois serait facilité. Il y aurait donc moins d'embouteillages et de pollution aux heures de pointe et plus de cyclistes!

Et quand on voit le sourire des cyclistes qui utilisent le Bicycle lift, on ne peut que les envier!

NB: Tout le monde ne sait pas s'offrir un vélo électrique!
*****
Laissez un commentaire pour identifier les côtes où vous verriez bien un ascenseur à vélo! Ca pourrait faire partie du plan de mobilité du CHR de la Citadelle non ?  
*****

Plus d'infos ici (""SYKKELHEISEN TRAMPE"" de Trondheim, Norvège, 130 mètres de long): 
- www.youtube.com/watch?v=tINMqAg3nTc"
La mobilité;097 - Ticket de transport unique;312;2;"Un ticket unique pour tous les transports publics

Nous souhaitons pouvoir nous déplacer en ville via le réseau de transports publics avec un et un seul ""ticket"", valable en bus, en train (Réseau Express Liégeois), en navette fluviale sur la meuse ou la dérivation, en téléphérique près de la Citadelle, en vélo partagé, etc.

Un ""passe mobilité"" en quelque sorte.
Voilà qui nous simplifierait grandement la vie dans nos déplacements, ainsi qu'aux touristes!

Ce ""ticket"" pourrait prendre la forme d'une carte à puce qu'il nous suffirait de pointer à l'entrée et à la sortie de chaque navette. La carte serait prépayée ou chargée à l'avance. Le montant à payer pour les déplacements se calculerait automatiquement suivant la formule la plus économique et le décompte se ferait automatiquement chaque mois.

Indiquez en commentaires vos expériences de ce genre de ticket unique. Dans quelle ville était-ce ?"
Inclassables;113 - Ecocentre dans le quartier Saint-Léonard;68;4;"L'écocentre de La Cité s'invente

Situé dans les coteaux de la citadelle de Liège, l’ASBL propose des visites, des animations, des stages, des ateliers, des balades guidées et des formations. Le lieu a été conçu pour présenter de manière didactique une large palette de solutions concrètes en termes d’habitat et de mode de vie durables.

L’ASBL a choisi d’approfondir  quatre thématiques : l’énergie, l’habitat, la biodiversité et l’alimentation.

Au travers de nos activités, nous souhaitons contribuer à dynamiser la vie du quartier Saint-Léonard, en  proposant un lieu d'échange et de rencontre afin de rapprocher les citoyens entre eux mais aussi les sensibiliser au respect de la biodiversité et de l'environnement."
Des espaces verts, des espaces collectifs, des espaces apaisés;114 - Péniches Gourmandes;63;2;"Péniches Gourmandes - Donner vie aux quais d'Outremeuse

La Meuse, image incontournable de la ville de Liège, n'est cependant presque jamais mise en valeur. C'est pourquoi l'idée de donner vie aux quais des Tanneurs, Sainte-Barbe et/ou Godefroid Kurth m'est venue. Ce serait un vrai attrait touristique que d'y créer un ensemble de péniches-bars dans une ambiance décontractée/familiale où l'on pourrait venir aussi bien se restaurer que prendre un verre au bord de l'eau tout en profitant du panorama urbain avec la citadelle en arrière plan. Ces dernières proposeraient par exemple, toutes sortes de cuisine du monde, comme l'on peut déjà le voir dans certains quartiers d'autres grandes villes (Camden Town à Londres) et constitueraient par la même occasion une balade sous les lampions en bord de Meuse. Pour cela, deux options: créer un évènement qui durerait tout l'été ou développer cela de manière permanente afin d'en faire une plus-value pour Liège. En effet, la plupart des grandes villes disposant d'un cours d'eau en développe réellement ses attraits (Dusseldorf, Paris, Amsterdam, Londres, ...). C'est vraiment ce qu'il manque à Liège avec la Meuse et dont la ville devrait s'inspirer beaucoup plus (comme y tirer les différents feux d'artifice). Cette idée de péniches gourmandes permettrait, elle, de donner vie à ce côté de la ville, à la fois centrale et un peu trop souvent ""délaissé"" malgré le potentiel qu'il représente."
Des espaces verts, des espaces collectifs, des espaces apaisés;115 - Mettre en piétonnier la place Cathédrale;98;4;"Espace convivial en plein centre commercial

A présent que les autobus ne viennent plus place de la Cathédrale, que la cathédrale va être restaurée, il faudrait penser à réaménager cette place de la cathédrale au Vinâve d'île; bien sûr en gardant le parterre, mais tous les espaces autour doivent être piétonniers (même s'il faut assurer l'accès au parking)."
La mobilité;137 - Un Parking  à Vélo vertical et urbain;98;8;undefined
Art, Culture, Patrimoine, Tourisme;203 - Développer le Street Art;131;16;"ATELIER CITOYENS Jupille/Wandre (28 mars)

Développer des projets de Street Art en centre ville pour notamment masquer les murs des bâtiments vides et délabrés."
Ville participative, Collaborative et Numérique;236 - Implanter des fontaines publiques d'eau potable en ville;154;3;"Implanter des fontaines publiques d'eau potable  en ville

Je souhaiterais que l'on implante des fontaines publiques dans les différents quartiers et en particulier dans les parcs et sur les places publiques. Cela permet aux habitants qui occupent l espace public de se désaltérer. De lus, en cas de canicule, même les plus démunis peuvent avoir accès à ce service public gratuit. Un partenariat peut être envisagé avec la CILE qui fournit déjà gratuitement de l'eau en gros cubes lors de certaines manifestations."
La mobilité;237 - Interdire les poids lourds en centre-ville;190;3;Ne plus laisser les poids lourds passer en ville sur les boulevards et les quais. Il me semble que plus de 200 sur 400 sont des étrangers.
Des espaces verts, des espaces collectifs, des espaces apaisés;258 - Rénover les infrastructures sportives;49;0;"Renover les infrastructures sportives du parc de Cointe

Ces infrastructures sportives sont vieillissantes mais pourtant attirent tjrs beaucoup de monde.  Enjoliver ces espaces sportifs serait une belle mission pour promouvoir le sport auprès des Cointois dans un environnement vert et aéré."
La mobilité;270 - Interdire de fumer en voiture;51;42;"Tout comme  le gsm au volant, fumer distrait le conducteur, l'empêche d'avoir ses deux mains sur son volant,  ... 

Il faut aussi savoir que la plupart des cigarettes fumées en voiture finissent jetées sur la route. 

La logique voudrait que la cigarette, comme l'est le gms aujourd'hui,  soit interdite en voiture."
Des espaces verts, des espaces collectifs, des espaces apaisés;281 - Location d'espace gardes meubles;2;9;"Réhabiliter l'observatoire de Cointe en entrepôt pour accueillir un centre de location d'espaces style ""gardes meubles"" ."
Art, Culture, Patrimoine, Tourisme;321 - Des panneaux trompe-l’oeil;35;18;"Installer des panneaux trompe-l’oeil avec le nom cité ( panneau avec personnage célèbre avec un trou tête )

C'est  reconnaître les noms des  personnages célèbres liègeois  ,de chaque endroit pour leur reconnaissance de leur action . 
C'est enrichir la culture de l'histoire tout en s'amusant ,de façon ludique .
C'est aussi s'amuser en plein centre-ville avec des clichés (des photos).
Avec des personnages célèbres comme  le charlemagne (né à Herstal) , le tchantchès (symbole de Liège) , Charles le téméraire , Jean Curtius ,Georges Simenon .....ect 
La participation avec toute la famille avec des clichés  est importante pour garder des souvenirs ."
Inclassables;325 - Stop aux Night Shop;181;29;"Il y en a déjà beaucoup trop dans le centre de la ville et ces commerces invasifs dévalorisent l'hyper centre. 

Quelques uns, OK.  Mais on est pas à Night Shop Land!"
Art, Culture, Patrimoine, Tourisme;328 - Streetart et nature;79;9;"Streetart tout en jouant avec  la nature de la ville

C'est surtout l'originalité qui inspire les gens à regarder la ville . L'humour est bon pour le moral aussi . Ne pas gâcher la nature à cause d'un manque esthétique .
L'esthétique sur la nature  avec le mur permet les gens à contempler et à admirer la ville telle qu'elle est."
Art, Culture, Patrimoine, Tourisme;355 - Architecture moderne et contemporaine;60;5;"L'idée est toute simple, développer une politique de restauration, de préservation et de développement de l'architecture moderne et contemporaine à Liège.
La liste des éléments de patrimoine prioritaire est déjà faite.
C'est le ""Guide d'architecture moderne et contemporaine. Liège"", sorti en 2014.
En mettant ces bâtiments aux normes énergétiques sans les altérer, c'est tout bénéf pour l'attractivité de notre ville.

-
Extrait:

Un regard neuf sur l’architecture à Liège 
Ce premier guide d’architecture moderne et contemporaine consacré à Liège et à ses environs (arrondissements de Liège, Huy et Waremme), invite à regarder l’architecture autrement au travers d’une sélection de près de quatre cents projets illustrés de plans et situés sur cartes, commentés par plus de quarante auteurs et photographiés par Élodie Ledure. 

Ces projets sont le fruit de la modernité revisitée à chaque époque par les architectes, de l’Art nouveau à aujourd’hui : programmes modestes ou réalisations d’envergure, commandes privées et bâtiments publics. 

Ce volume est réalisé en partenariat avec les Facultés d’architecture et de philosophie & lettres de l’Université de Liège, sous la direction de Sébastien Charlier et Thomas Moor.""
-
https://www.rtbf.be/info/regions/detail_liege-parution-d-un-guide-de-l-architecture-moderne-et-contemporaine?id=8300353"
Art, Culture, Patrimoine, Tourisme;356 - Aménager l'ancienne  usine d’armes;47;6;"Aménager l'ancienne  usine d’Armes  de Francotte au Mont Saint-Martin et aussi  son escalier

Liège est fort connu pour la construction des  armes depuis longtemps jusqu'à l'heure actuelle (le FN de Herstal ).
Donc, l'idéal est de faire un musée sur l'histoire des armes  et d' aménager les escaliers, qui peuvent atteindre jusqu'à la rue de sauvenière ."
La végétalisation et l'agriculture urbaine;386 - Un jardin parc de la Boverie;57;13;"La ville pourrait mettre à profit la place laissée par l’école primaire de la Boverie pour y implanter un petit jardin public.

Ce jardin citadin pourrait mettre en valeur, par exemple, des plantes médicinales.

Ce jardin serait librement accessible. Des panneaux d’informations et des bancs jalonneraient son parcours.

Il permettrait d’embellir davantage le parc de la Boverie et sensibiliser le public à l’environnement."
La végétalisation et l'agriculture urbaine;392 - Des voies de tram verdurisées;166;4;"Dans le cadre de la mise en place du tram liégeois, laisser place à la verdure en s'inspirant de l'exemple de nombreuses villes européennes qui ont transformé leurs voies de tram en espace verts:
https://www.hunterindustries.com/fr/site-study/les-tramways-europeens-ajoutent-du-gazon"
La mobilité;418 - Faisons réagir les pietons distraits ou inciviques;28;49;"Idée de la sécurité routière d'Île de France.  


https://youtu.be/0P3H8MEPLyY"
Inclassables;441 - Prévention de la délinquance;70;3;"Prévention de la délinquance : un ludobus dans des quartiers défavorisés dans le centre-ville .

Le jeu fait partie du patrimoine humain, chez l’enfant comme chez l’adulte. Le jeu est une activité indispensable à la construction de tout individu, et est réel facilitateur de lien social.
 Apprendre les règles tout en créant des liens sociaux . 
Eviter que les enfants se baladent seules dans les rues  , s'ennuyent.... ect  . 
Ce bus transporte des jeux de sociétés et  peut se déplacer et avoir  un emplacement , sous l'autorisation de la ville de Liège , pour ce bus . Les enfants peuvent être dans le bus ."
La mobilité;444 - Un réseau cyclable de qualité hollandaise;312;8;"Nous désirons la création pas à pas, segment par segment, à toute occasion, chantier par chantier, d'un réseau cyclable digne de celui développé aux Pays-Bas depuis les années 70.

Petite précision, nous parlons ici de pistes réservées aux cyclistes et non d'espaces cyclopédestres de type RAVeL.

Ne réinventons pas la roue, copions les ""Hollandais"" sans modération car ils sont à la pointe. Invitons-les pour nous expliquer comment faire.
Liège est à 35 km de Maastricht!

1 vidéo pour mieux comprendre comment les Hollandais sont arrivés à un tel résultat.

https://www.youtube.com/watch?v=XuBdf9jYj7o"
Ville participative, Collaborative et Numérique;450 - Une application pour les produits liégeois;65;2;"J'aimerais une application qui me permet de faire plus facilement mes courses en ville chez les petits commerçants liégeois.  

L'application pourrait proposer une liste interactive des produits liégeois et une carte géolocalisée qui indique les commerces à proximité de ma position géographique. Ainsi, si je veux aller acheter du pain ou des légumes, l'application me proposerait les petits commerces les plus proches et un itinéraire piéton/cycliste pour m'y rendre. 

On pourrait également imaginer la création d'un label afin de mettre en valeur les commerces qui répondent à un certain nombre de critères."
Des espaces verts, des espaces collectifs, des espaces apaisés;456 - Tri pour les poubelles publiques;86;1;"En tant que citoyen, nous devons trier nos déchets, ce qui est normal. Pourquoi, dans ce cas, ne ferions-nous pas la même chose dans les poubelles publiques, avec les mêmes types de ""sachets"" que pour l'utilisation privée (bleus, blancs et jaunes) ?  
De même, il serait intéressant de mettre des cendriers publics sur ces poubelles afin de limiter les mégots jetés à terre.

Pour les non-liégeois qui ne trie pas de la même manière, il faudrait préciser sur ces poubelles quel type de déchets va dans quel sachet (en Français et en Anglais, voire en Néerlandais)."
Des espaces verts, des espaces collectifs, des espaces apaisés;476 - Habitat participatif - Appel à manifestation d’intérêt;20;1;undefined
Art, Culture, Patrimoine, Tourisme;479 - Un circuit des collégiales;53;5;"Oui, le circuit des collégiales existe déjà. Mais actuellement il est très difficile de faire réellement le tour de ces édifices, en raison des horaires d'ouverture (quand il y en a). Par ailleurs, le patrimoine est parfois fort dégradé.
Investissons sur le circuit des collégiales (et finalement, du patrimoine religieux tout court, pas besoin de le limiter aux collégiales) :
- En facilitant l'accès aux édifices (horaires unifiés, systèmes automatiques, gardiennages à penser, etc.)
- En restaurant finement les édifices (plan de restauration à étaler sur de nombreuses années)
- En remplissant les édifices : un circuit où chaque collégiale aurait la particularité de présenter quelque chose de différent serait encore plus attirant. Et cela peut se faire dans le respect des lieux : glyptothèque, réserve d'art visitable, lieu associatif, lieu de création, brasserie, cave à vin, culture de plantes, etc. Quelque chose à la fois de varié et de cohérent (les exemples ne manquent pas ailleurs)
- En améliorant les alentours des édifices : supprimer le parking devant Ste-Croix, refaire la place X. Neujean, refaire la place St-Jacques et rendre E. Dupont moins tristounet, etc.
- En animant numériquement les collégiales : plateforme participative, applications, etc."
Ville participative, Collaborative et Numérique;005 - Instaurer le budget participatif;57;5;"INSTAURER LE BUDGET PARTICIPATIF 

Le budget participatif est un processus de démocratie participative dans lequel des citoyens peuvent affecter une partie du budget de leur collectivité territoriale, généralement à des projets d'investissement.
Ce sont les citoyens qui ont la possibilité de proposer des projets et de les choisir selon des modalités à convenir.  Un pourcentage du budget investissement de la ville, sera alors dédicacé à la mise en œuvre des projets."
Ville participative, Collaborative et Numérique;006 - Promouvoir l'apprentissage du codage informatique;55;8;"PROMOUVOIR L’APPRENTISSAGE DU CODAGE INFORMATIQUE

Cette action consiste à mettre en place un apprentissage ludique du codage informatique auprès des enfants et des adolescents, via des stages, des initiations ou des partenariats avec les associations actives dans le domaine."
La végétalisation et l'agriculture urbaine;019 - Recenser et mettre à disposition des parcelles pour l'agriculture urbaine;140;9;"RECENSER ET METTRE A DISPOSITION DES PARCELLES POUR L’AGRICULTURE URBAINE : POTAGERS ET VERGERS PARTAGES 

Afin de favoriser le développement de potagers et vergers partagés et de favoriser le développement de l'agriculture urbaine, des diagnostics exhaustifs du fonciers sous/mal exploité ou en friche seront réalisés.
Suite à ces diagnostics, la Ville de Liège mettra à disposition des jardins partagés et des parcelles pour l'agriculture urbaine. Une charte des jardins partagés de la ville sera dès lors mise en application.
De la sorte, la Ville de Liège s’inscrit dans le mouvement des Villes en Transition qui lutte pour une plus grande résilience locale (autonomie alimentaire)."
Inclassables;"027 - Limiter les magasins ""low-cost""";99;28;"Limiter les magasins ""low-cost"" et attirer des chaines haut de gamme

La ville attire des chaines de magasins low cost tels zeeman, wibra, etc. les rues qui connaissent ces magasins voient s'implanter aux alentours d'autres magasins privés du même genre : snack, night shop, boulangerie bas de gamme, etc. Voir toute la ligne qui va de la place du marché à St barthelemy, au bout de feronstrée. Il n'y a quasi plus un magasin propre. Idem sur quasi toute la rue cathédrale : tout le goulot de la rue leopold est un taudis.

Liège est une ville pauvre. Pour s'enrichir, il faut aussi attirer les personnes qui ont des moyens et qui ont envies de visiter la ville. Mais aujourd'hui, ils préfèrent maastricht ou des centres commerciaux huppés en dehors de la ville.
Si on ne limite pas le commerce low cost et qu'on n'attire pas des chaines de magasins à fort potentiel, cela sera préjudiciable même pour les indépendants qui sont hyper créatifs.
des chaines haut de gamme : 'habitat' est parti, 'Dille et Kamille' est arrivé. Il en faut plus.

Comment ? limiter le low cost, promouvoir la diversification du commerce."
Des espaces verts, des espaces collectifs, des espaces apaisés;046 - Les ronds-points de Buren-Ville;39;5;Les ronds-points de Burenville, au-dessus de l'autoroute à la sortie du même nom, sont parmi les plus moches de Liège, et les plus utilisés. Invitons l'artiste Daniel Buren, mondialement connu et rompu à l'aménagement en espace public, à les réinventer esthétiquement, pour avoir les ronds-points d'art contemporain les plus innovants et audacieux de Belgique ! Et l'accès à Burenville aménagé par Daniel Buren, ce serait rigolo ! On en profiterait évidemment pour redonner une place aux piétons, aux cyclistes, et au futur tram sur ce spot si important pour la mobilité à Liège, et zone frontière qui actuellement déconnecte deux parties de la ville.
Ville participative, Collaborative et Numérique;051 - Créer un agenda géolocalisé des événements;47;1;"Un agenda géolocalisé des évènements

L'idée est de créer une application permettant à chaque organisateur d'évènements (même de minime importance - ex. Apéros urbains, expos éphémères, etc....) d'inscrire sa manifestation avec les coordonnées GPS et les dates de déroulement. 
En se promenant avec son smartphone, on pourrait donc recevoir des alertes d'évènements en cours à proximité, en fonction de ses goûts.
Cela favoriserait le vivre ensemble et l'accès à ces manifestations."
La transition énergétique;"052 - Parkings ""riverains"" réservés aux voitures  électriques";42;38;"Des parkings  ""riverains"" pour les voitures électriques

L'idée c'est de favoriser l'achat, par les liégeois du centre ville, de véhicules électriques en leur permettant d'aménager devant leur maison (par le placement de borne de recharge à partager) une place de parking ""riverain"" réservée aux véhicules électriques.
Il est quasi impossible, pour le liégeois qui ne dispose pas d'un garage, de recharger sa voiture électrique. 
En outre, il existe très peu de parkings publics à Liège avec possibilité de recharge. 
Cela inciterait les Liégeois à acheter une voiture électrique, puisque les utilisateurs de tels véhicules pourraient plus facilement stationner dans le centre."
Art, Culture, Patrimoine, Tourisme;065 - Un centre d'interprétation;17;14;"Le Centre d'interprétation de la Ville ne serait ni un musée, ni un Centre culturel. Il s'agirait d'un lieu d'expérimentation et de débat lié à la question de la citoyenneté locale. Il serait situé en plein cœur de Liège, visible, ouvert, et accueillant.

La Ville, c'est un urbanisme, une architecture, un patrimoine, mais ce sont aussi et surtout des composantes humaines qui la font exister et évoluer. Il n'est donc pas question de ne montrer que de vieilles pierres et autres artefacts. Trois composantes seraient présentes : 
•formation de la ville (parcours simplifié s'appuyant sur l'histoire, en lien avec l'Archéoforum : donc au Tivoli au ou palais des Princes?)
•visages de la ville (panorama des différentes composantes de la ville : cultures, origines, travail et économie, transport, nature, etc.)
•expérimentation de la ville : partie la plus importante (jouer avec les composantes de la ville, les imaginer dans le futur, prendre position, débattre) Il y a donc une approche sous forme de parcours permanent (1ere et 2e composante), et une approche sous forme évolutive et expérimentale (2e et 3e composante). Une structure moderne qui se réinventerait en permanence!

Le Centre d'interprétation serait confié à un organisme indépendant de la Ville (pour garantir sa neutralité dans les débats), et serait, outre ses différents ""parcours"", le lieu privilégié pour l'exercice de la démocratie directe à Liège. On y organiserait expositions, présentation de projets urbains, tables rondes de réflexion, campagnes d'information ou de récolte d'idées, conférences, animations pédagogiques et ateliers pour les plus jeunes, promenades actives, projets participatifs citoyens, manifestations de soutien ou de revendication, etc. 

De quoi former et informer des générations de citoyens à l'art du débat, de la démocratie, par le biais d'une implication directe dans la vie de la Ville."
La végétalisation et l'agriculture urbaine;093 - Les jardins de l'Opéra;110;4;"Depuis trop longtemps, le terrain au bout du boulevard de la Sauvenière (en face de l'Opéra) est laissé à l'abandon.

Contrairement à ce qui est visible sur la photo, il ne sert même plus de parking. 

Etant donné qu'aucun projet ne semble fleurir à cet emplacement, ne serait-il pas intéressant d'y aménager un espace verdoyant?  

L'hyper centre est dépourvu de ce genre de lieux. Afin de trouver un parc il faut s'éloigner du centre et se rendre au Jardin Botanique, à la Boverie,  monter dans les coteaux ou se contenter du petit parc Saint-Jacques derrière l'église du même nom. Cela est à mon sens tout à fait insuffisant. 

Nous pourrions donc créer un nouvel espace de vie et de rencontre pour les Liégeois tout en rendant l'hypercentre un peu plus vert."
La végétalisation et l'agriculture urbaine;124 - Appropriation  des espaces verts par les Liégeois;31;37;"Mon projet : Laisser aux Liégeois la possibilité de s'approprier les espaces verts.

J'ai envie de cultiver un potager et d'avoir quelques ruches. Malheureusement, je n'ai pas un grand jardin. Par contre, il y a de nombreux espaces vert à proximité. Alors pourquoi ne pas donner l'opportunité aux Liégeois de s'approprier ces espaces ?  Il y aurait de nombreux autres bénéfices. Cela permettrait de partager et de rencontrer ses voisins, de sortir de chez soit pour prendre l'air, de participer à la biodiversité, de sensibiliser les enfants les enjeux environnementaux, etc."
Art, Culture, Patrimoine, Tourisme;126 - Personnaliser les taxis de la ville;69;10;"Donner une meilleure visibilité/personnalité aux taxis de Liège, comme à Barcelone, et New-York, entre autres.  A l'instar de ces villes, on pourrait les colorer par exemple en fushia comme la couleur du logo de la Ville ? Il faut que la couleur se démarque de l'environnement, et de celle des autres villes.
Ceci donnerait une belle image  de Liège, surtout si les véhicules sont électriques, mais aussi de la personnalité à la ville !
Ce projet n'est pas difficile à mettre en oeuvre,  et met en valeur les sociétés (officielles) de taxis.  Celles-ci sont en général favorables à ce changement."
Art, Culture, Patrimoine, Tourisme;134 - Affichage de mots positifs sur les bus;68;14;"L'idée c''est de profiter des affichages LED des autobus et de la transmission de données en temps réel pour transmettre des messages positifs, sympathiques ou utiles aux usagers, liégeois ou touristes.

Exemples:

""Bonjour""

""Bienvenue à Liège""

""Complet, désolé""

""Prochain bus dans 5 minutes!""

""Démarrage imminent""

""ZZZZZZ...""

Qualité de l'air

Quantité de CO2 évitée
...

Nouvelles technologies numériques et open data pourraient permettre d'alimenter les ""phylactères"" des bus.

Avez-vous des idées de messages ?"
La végétalisation et l'agriculture urbaine;139 - Des potagers suspendus;123;8;"Face à la malbouffe, la sédentarisation, une démographie galopante et notre empreinte carbonique trop lourde, il est important de repenser notre alimentation.
Liège dispose de nombreux toits plats inoccupés (Belle île, CHR, bâtiments publics, Mont legia,..)
Transformons ces toits en potagers biologiques pour les mettre à disposition des liégeois. 
Plusieurs résultats positifs en découleront :
-	Alimentation saine et variée
-	Interaction sociale dans différents quartiers
-	Fruits et légumes en circuit court et donc moins d’intermédiaires coûteux 
-	Les toitures végétalisées limitent le réchauffement climatique
-	Participe à l’éducation alimentaire de nos enfants 
 
Liège doit encourager ce type de projets au travers d’eco- chèques locaux, taxes sur les grandes toitures non végétalisées, prîmes pour les coopératives alimentaires en circuit court."
Des espaces verts, des espaces collectifs, des espaces apaisés;145 - Un Maître Architecte pour Liège;70;7;"Liège est une ville dynamique qui ne manque pas d’idées pour améliorer la ville au quotidien. Ce qui manque, par contre, c’est une cellule qui assure la qualité et la cohérence des projets pour la ville. Pour répondre à ce défi, toutes les grandes villes du pays (Anvers, Bruxelles, Charleroi et Gand) se sont entourées des services d’un Bouwmeester, un Maître Architecte. 

Si les objectifs et les outils d’un maître architecte peuvent varier d’une ville à l’autre, sa principale mission reste la même. Il a pour mission de veiller à la qualité de l’espace, en matière d’architecture, d’urbanisme et de lieux publics. Les composantes essentielles de sa mission sont l’assistance, le conseil et la stimulation des maîtres d’ouvrage publics. Le maître architecte est mandaté par les pouvoirs publics pour une période de cinq ans et est indépendant.

L’efficacité des services d’un maître architecte a déjà fait ses preuves dans de nombreuses villes, pourquoi pas Liège ?"
La végétalisation et l'agriculture urbaine;149 - Des moutons pour l'entretien des espaces verts;137;24;"L'idée c'est de développer l'entretien des espaces verts, talus le long des voies ferrées, parcs, etc. de manière alternative, naturelle, sans carburant ni pesticides qui polluent air et sols. 

Cela s'appelle l'éco-pâturage.

Ces moutons pourraient être déplacés avec leur abri et leur abreuvoir, en fonction de la superficie des espaces qu'ils devraient nettoyer.

Les périodes d'éco-päturage seraient définies de manière à permettre la nidification des oiseaux, le développement de plantes protégées, etc.

En Wallonie, il existe déjà quelques espaces gérés par éco-paturage, généralement initiés par Natagora.
A liège, on croise parfois quelques moutons sur le terril du Gosson.

Plus d'infos ici:
http://reporterre.net/L-eco-paturage-a-la-conquete-des
Vidéo:
www.youtube.com/watch?v=e_3HH3VRxsM"
